raw_text,canonical_name,category,subcategory
TIM HORTONS #9382 TORONTO ON,Tim Hortons,Food & Dining,Fast Food
LOBLAWS #1023 MISSISSAUGA ON,Loblaws,Food & Dining,Grocery
SQ *BELLA PIZZA VANCOUVER BC,Bella Pizza,Food & Dining,Restaurant
AMZN MKTP CA*2M4N7P3 866-216-1072 ON,Amazon,Shopping,Online Retail
PRESTO *AUTOLOAD 416-869-3200 ON,Presto,Transportation,Public Transit
STARBUCKS #47382 CALGARY AB,Starbucks,Food & Dining,Coffee Shop
SHELL C28473829 EDMONTON AB,Shell,Transportation,Gas Station
UBER CANADA/UBERTRIP TORONTO ON,Uber,Transportation,Rideshare
NETFLIX.COM NETFLIX.COM CA,Netflix,Entertainment,Streaming
SHOPPERS DRUG MART #2847 TORONTO ON,Shoppers Drug Mart,Health & Wellness,Pharmacy
METRO ONTARIO #0483 HAMILTON ON,Metro,Food & Dining,Grocery
TST* COFFEE REPUBLIC MONTREAL QC,Coffee Republic,Food & Dining,Coffee Shop
PAYPAL *SPOTIFY P5B2C4T8E2,Spotify,Entertainment,Streaming
ROGERS COMMUNICATIONS 888-764-3771 ON,Rogers,Utilities,Telecom
ESSO 29384756 CALGARY AB,Esso,Transportation,Gas Station
MCDONALD'S #28473 VANCOUVER BC,McDonald's,Food & Dining,Fast Food
AMAZON.CA*2K8M3L9 AMAZON.CA ON,Amazon,Shopping,Online Retail
DOLLARAMA #847 BRAMPTON ON,Dollarama,Shopping,Discount Store
UBER EATS*ORDER HELP.UBER.COM ON,Uber Eats,Food & Dining,Delivery
WHOLE FDS MKT #60284 TORONTO ON,Whole Foods,Food & Dining,Grocery
BELL MOBILITY 1-800-667-0123 ON,Bell,Utilities,Telecom
PETRO-CANADA #8473 LONDON ON,Petro-Canada,Transportation,Gas Station
SQ *FRESH PRESSED OTTAWA ON,Fresh Pressed,Food & Dining,Restaurant
NO FRILLS #1847 SCARBOROUGH ON,No Frills,Food & Dining,Grocery
APPLE.COM/BILL 866-712-7753 CA,Apple,Entertainment,Digital Services
LCBO/REGIE #0284 TORONTO ON,LCBO,Food & Dining,Alcohol
A&W #2847 REGINA SK,A&W,Food & Dining,Fast Food
SPOTIFY P5B2C4T8E2 STOCKHOLM SE,Spotify,Entertainment,Streaming
WINNERS #0847 MARKHAM ON,Winners,Shopping,Clothing
TORONTO HYDRO EBILL TORONTO ON,Toronto Hydro,Utilities,Electricity
407 ETR AUTOMATED PMT TORONTO ON,407 ETR,Transportation,Toll Road
SUBWAY #48273 KITCHENER ON,Subway,Food & Dining,Fast Food
AMZN PRIME*2K4M8P3 AMZN.CA/PRIME ON,Amazon Prime,Entertainment,Subscription
TELUS MOBILITY 1-866-558-2273 BC,Telus,Utilities,Telecom
TST* RAMEN HOUSE VANCOUVER BC,Ramen House,Food & Dining,Restaurant
WALMART #3847 WINNIPEG MB,Walmart,Shopping,Department Store
LYFT *RIDE TUE 8PM TORONTO ON,Lyft,Transportation,Rideshare
SOBEYS #2847 HALIFAX NS,Sobeys,Food & Dining,Grocery
SQ *NOODLE BOX CALGARY AB,Noodle Box,Food & Dining,Restaurant
PAYPAL *ADOBE 4029357733,Adobe,Entertainment,Software Subscription
COSTCO WHOLESALE #847 VAUGHAN ON,Costco,Food & Dining,Grocery
TIM HORTONS #5928 OTTAWA ON,Tim Hortons,Food & Dining,Fast Food
ENBRIDGE GAS PREAUTH PMT TORONTO ON,Enbridge Gas,Utilities,Natural Gas
SKIP THE DISHES SKIPTHEDISHES.COM AB,SkipTheDishes,Food & Dining,Delivery
SHELL 739284756 BURLINGTON ON,Shell,Transportation,Gas Station
LONGO'S #847 OAKVILLE ON,Longos,Food & Dining,Grocery
AMZN MKTPLACE USD*1K8M2 SEATTLE WA,Amazon,Shopping,Online Retail
CIBC MONTHLY FEE,CIBC,Finance,Bank Fee
STARBUCKS #92847 MONTREAL QC,Starbucks,Food & Dining,Coffee Shop
TST* TACO PLACE TORONTO ON,Taco Place,Food & Dining,Restaurant
GOOGLE *YouTubePremium G.CO/HELPPAY# CA,YouTube Premium,Entertainment,Streaming
REXALL PHARMACY #2847 RICHMOND BC,Rexall,Health & Wellness,Pharmacy
ESSO 48372910 HAMILTON ON,Esso,Transportation,Gas Station
SQ *COFFEE LOUNGE MISSISSAUGA ON,Coffee Lounge,Food & Dining,Coffee Shop
UBER CANADA/UBERTRIP TORONTO ON,Uber,Transportation,Rideshare
CINEPLEX ODEON #2847 TORONTO ON,Cineplex,Entertainment,Movies
FARM BOY #47 KANATA ON,Farm Boy,Food & Dining,Grocery
MCDONALD'S #91847 EDMONTON AB,McDonald's,Food & Dining,Fast Food
ROGERS VIDEO ON DEMAND 888-764-3771 ON,Rogers,Entertainment,Video On Demand
PAYPAL *ETSY.COM 4029357733,Etsy,Shopping,Online Retail
LONDON DRUGS #28 VANCOUVER BC,London Drugs,Shopping,Pharmacy
PRESTO *FARELOAD 416-869-3200 ON,Presto,Transportation,Public Transit
AMZN.CA*2M8K4P7 AMAZON.CA ON,Amazon,Shopping,Online Retail
SECOND CUP #847 CALGARY AB,Second Cup,Food & Dining,Coffee Shop
GOODLIFE FITNESS 001002847 ON,GoodLife Fitness,Health & Wellness,Gym Membership
TST* SUSHI SPOT OTTAWA ON,Sushi Spot,Food & Dining,Restaurant
HARVEY'S #2847 GUELPH ON,Harvey's,Food & Dining,Fast Food
CANADIAN TIRE #284 BARRIE ON,Canadian Tire,Shopping,Department Store
SHELL OIL 82947301 SASKATOON SK,Shell,Transportation,Gas Station
NY TIMES DIGITAL NEW YORK NY,New York Times,Entertainment,News Subscription
PIZZA PIZZA #2847 TORONTO ON,Pizza Pizza,Food & Dining,Fast Food
DISNEY PLUS DISNEYPLUS.COM CA,Disney Plus,Entertainment,Streaming
LOBLAWS #0284 NORTH YORK ON,Loblaws,Food & Dining,Grocery
UBER EATS*FRI8PM HELP.UBER.COM ON,Uber Eats,Food & Dining,Delivery
BOSTON PIZZA #847 RED DEER AB,Boston Pizza,Food & Dining,Restaurant
SHOPPERS DM #9284 VANCOUVER BC,Shoppers Drug Mart,Health & Wellness,Pharmacy
PAYPAL *PATREON 4029357733,Patreon,Entertainment,Subscription
PETRO-CANADA 82947301 WHITBY ON,Petro-Canada,Transportation,Gas Station
SQ *BAGEL SHOP MONTREAL QC,Bagel Shop,Food & Dining,Fast Food
METRO #2847 LAVAL QC,Metro,Food & Dining,Grocery
STARBUCKS STORE 28473 VICTORIA BC,Starbucks,Food & Dining,Coffee Shop
APPLE.COM/BILL ICLOUD 866-712-7753 CA,Apple,Entertainment,Cloud Storage
INDIGO BOOKS #284 TORONTO ON,Indigo,Shopping,Books
TST* BURRITO BAR CALGARY AB,Burrito Bar,Food & Dining,Restaurant
ESSO 19284756 MONCTON NB,Esso,Transportation,Gas Station
PAYMENT - THANK YOU / PAIEMENT - MERCI,Payment,Payment,Credit
WALMART SUPERCENTRE #2847 SURREY BC,Walmart,Shopping,Department Store
UBER CANADA/UBERTRIP TORONTO ON,Uber,Transportation,Rideshare
NO FRILLS #2847 ETOBICOKE ON,No Frills,Food & Dining,Grocery
BELL CANADA 1-888-759-3474 ON,Bell,Utilities,Telecom
SQ *DESSERT SPOT TORONTO ON,Dessert Spot,Food & Dining,Dessert
AMZN DIGITAL*2K9M3L4 AMZN.CA/PRIME ON,Amazon,Entertainment,Digital Content
TIM HORTONS #1847 BURNABY BC,Tim Hortons,Food & Dining,Fast Food
RONA INC #284 QUEBEC QC,Rona,Shopping,Home Improvement
LCBO/SAQ #2847 KINGSTON ON,LCBO,Food & Dining,Alcohol
ENMAX PRE-AUTHORIZED PMT CALGARY AB,Enmax,Utilities,Electricity
SHELL 82947301 CHARLOTTETOWN PE,Shell,Transportation,Gas Station
LINKEDINPREA *95211646 MOUNTAIN VIEWCA,LinkedIn,Professional Services,Professional Development
GITHUB.COM BILLING GITHUB.COM USA,GitHub,Software & Subscriptions,Development Tools
OPENAI.COM NEW YORK NY,OpenAI,Software & Subscriptions,AI Services
DATACAMP INC 929-3529727 NY,DataCamp,Education & Learning,Online Courses
COURSERA COURSES COURSERA.ORG CA,Coursera,Education & Learning,Online Courses
MICROSOFT *OFFICE365 REDMOND WA,Microsoft 365,Software & Subscriptions,Productivity Software
